full_name,employee_id,phone,email,role,site_area,current_location,current_status,shift_start_time,shift_end_time,current_shift_id,institution,active,hire_date,last_activity,id,created_date,updated_date,created_by_id,created_by,is_sample
"אברהם כהן","G001","052-1234567","avraham.cohen@security.com","מאבטח ראשי","מרכז","{""""latitude"""":31.6996,""""longitude"""":35.1127,""""timestamp"""":""""2025-01-06T10:30:00Z"""",""""accuracy"""":5}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-03-15","2025-01-06T10:30:00Z","683c6ad503954956bcbe2ed4","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אברהם גלוברמן","G028","055-1234567","avraham.globerman@security.com","מאבטח רגיל","דרום","{""""latitude"""":31.6968,""""longitude"""":35.1118,""""timestamp"""":""""2025-01-06T10:24:00Z"""",""""accuracy"""":9}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-08-14","2025-01-06T10:24:00Z","683c6ad503954956bcbe2eef","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"חיים ליבוביץ","G030","055-3456789","chaim.liebowitz@security.com","מנהל משמרת","מערב","{""""latitude"""":31.6985,""""longitude"""":35.1092,""""timestamp"""":""""2025-01-06T10:31:00Z"""",""""accuracy"""":4}","responding_to_incident","22:00","06:00","null","משמר ביתר","true","2022-08-03","2025-01-06T10:31:00Z","683c6ad503954956bcbe2ef1","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אליהו מילר","G036","055-9012345","eliyahu.miller@security.com","מנהל משמרת","מרכז","{""""latitude"""":31.7014,""""longitude"""":35.1133,""""timestamp"""":""""2025-01-06T10:27:00Z"""",""""accuracy"""":4}","responding_to_incident","22:00","06:00","null","משמר ביתר","true","2022-07-15","2025-01-06T10:27:00Z","683c6ad503954956bcbe2ef7","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"אהרן שורצמן","G040","056-4567890","aharon.schwarzman@security.com","מאבטח רגיל","מערב","{""""latitude"""":31.6987,""""longitude"""":35.1086,""""timestamp"""":""""2025-01-06T10:23:00Z"""",""""accuracy"""":8}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-08-28","2025-01-06T10:23:00Z","683c6ad503954956bcbe2efb","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"משה רוזנברג","G003","052-3456789","moshe.rozenberg@security.com","מאבטח במעקב","דרום","{""""latitude"""":31.697,""""longitude"""":35.111,""""timestamp"""":""""2025-01-06T10:32:00Z"""",""""accuracy"""":6}","on_break","22:00","06:00","null","משמר ביתר","true","2023-01-10","2025-01-06T10:32:00Z","683c6ad503954956bcbe2ed6","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"חיים ברקוביץ","G007","052-7890123","chaim.berkowitz@security.com","מאבטח רגיל","צפון","{""""latitude"""":31.703,""""longitude"""":35.1145,""""timestamp"""":""""2025-01-06T10:40:00Z"""",""""accuracy"""":9}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-04-22","2025-01-06T10:40:00Z","683c6ad503954956bcbe2eda","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"מנחם גולד","G012","053-3456789","menachem.gold@security.com","מאבטח רגיל","צפון","{""""latitude"""":31.7025,""""longitude"""":35.1155,""""timestamp"""":""""2025-01-06T10:38:00Z"""",""""accuracy"""":7}","on_break","22:00","06:00","null","משמר ביתר","true","2023-08-03","2025-01-06T10:38:00Z","683c6ad503954956bcbe2edf","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יונתן פישר","G019","054-1234567","yonatan.fisher@security.com","מאבטח רגיל","מזרח","{""""latitude"""":31.7012,""""longitude"""":35.118,""""timestamp"""":""""2025-01-06T10:26:00Z"""",""""accuracy"""":9}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-04-05","2025-01-06T10:26:00Z","683c6ad503954956bcbe2ee6","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"יוסף דויטש","G031","055-4567890","yosef.deutsch@security.com","מאבטח רגיל","מרכז","{""""latitude"""":31.7011,""""longitude"""":35.1142,""""timestamp"""":""""2025-01-06T10:56:00Z"""",""""accuracy"""":7}","on_patrol","06:00","14:00","null","משמר ביתר","true","2023-03-21","2025-01-06T10:56:00Z","683c6ad503954956bcbe2ef2","2025-06-01T14:59:33.853000","2025-06-01T14:59:33.853000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
